EMPRESA;MODELO;DES_MODELO;FAMILIA;DES_FAMILIA;MARCA
5;5Z5KE6              ;FOX CONNECT SB                          ;11;FOX                           ;VW  
5;BZ22U4              ;VIRTUS MSI 1.6                          ;107;VIRTUS                        ;VW  
5;SIENA 1             ;SIENA ESSENCE 1.6                       ;50;USADOS FIAT                   ;FIAT
5;ASTRA 1             ;ASTRA HB 4P ADVANTAGE                   ;51;USADOS GM                     ;GM  
5;NISSAN              ;NISSAN KICKS SL CVT                     ;63;USADOS NISSAN                 ;NISS
5;NISSAN 1            ;NISSAN FRONTIER SL 4X4                  ;63;USADOS NISSAN                 ;NISS
5;NISSAN 3            ;FRONTIER SL 4X4                         ;63;USADOS NISSAN                 ;NISS
5;NISSAN 4            ;NISSAN FRONTIER SL 4X4                  ;63;USADOS NISSAN                 ;NISS
5;6A6DP4              ;UP PEPPER                               ;23;UP                            ;VW  
1;CITROEN-01          ;CITROEN C3 GLX 14 FLEX                  ;62;USADOS CITROEN                ;CITR
1;CITROEN-02          ;CITROEN PICASSO II16GLXF                ;62;USADOS CITROEN                ;CITR
1;CITROEN-03          ;CITROEN C3 GLX 1.6 FLEX                 ;57;USADOS VW                     ;VW  
1;CITROEN-04          ;CITROEN XSARA PICASSO GX                ;62;USADOS CITROEN                ;CITR
1;CITROEN-05          ;CITROEN/XSARAPICASSO EXS                ;62;USADOS CITROEN                ;CITR
1;FIAT -065           ;FIAT STRADA WORKING                     ;50;USADOS FIAT                   ;FIAT
1;FIAT-001            ;FIAT PALIO EL                           ;50;USADOS FIAT                   ;FIAT
1;FIAT-002            ;FIAT IDEA ADVENTURE FLEX                ;50;USADOS FIAT                   ;FIAT
1;FIAT-003            ;FIAT IDEA ELX                           ;50;USADOS FIAT                   ;FIAT
1;FIAT-004            ;FIAT MAREA SX                           ;50;USADOS FIAT                   ;FIAT
1;FIAT-005            ;FIAT MAREA ELX                          ;50;USADOS FIAT                   ;FIAT
1;FIAT-006            ;FIAT MAREA HLX                          ;50;USADOS FIAT                   ;FIAT
1;FIAT-007            ;FIAT MAREA WEEKEND SX                   ;50;USADOS FIAT                   ;FIAT
1;FIAT-008            ;FIAT MAREA WEEKEND HLX                  ;50;USADOS FIAT                   ;FIAT
1;FIAT-009            ;FIAT MAREA WEEKEND TURBO                ;50;USADOS FIAT                   ;FIAT
1;FIAT-010            ;FIAT MAREA TURBO                        ;50;USADOS FIAT                   ;FIAT
1;FIAT-011            ;FIAT PALIO ED                           ;50;USADOS FIAT                   ;FIAT
1;FIAT-012            ;FIAT PALIO ELX                          ;50;USADOS FIAT                   ;FIAT
1;FIAT-013            ;FIAT PALIO EDX                          ;50;USADOS FIAT                   ;FIAT
1;FIAT-014            ;FIAT PALIO EX                           ;50;USADOS FIAT                   ;FIAT
1;FIAT-015            ;FIAT PALIO FIRE FLEX                    ;50;USADOS FIAT                   ;FIAT
1;FIAT-016            ;FIAT PALIO HLX                          ;50;USADOS FIAT                   ;FIAT
1;FIAT-017            ;FIAT PALIO WEEKEND ADVENTURE            ;50;USADOS FIAT                   ;FIAT
1;FIAT-018            ;FIAT PALIO WEEKEND ELX                  ;50;USADOS FIAT                   ;FIAT
1;FIAT-019            ;FIAT PALIO WEEKEND HLX                  ;50;USADOS FIAT                   ;FIAT
1;FIAT-020            ;FIAT PALIO YOUNG                        ;50;USADOS FIAT                   ;FIAT
1;FIAT-021            ;FIAT SIENA ELX                          ;50;USADOS FIAT                   ;FIAT
1;FIAT-022            ;FIAT SIENA ELX 25 ANOS                  ;50;USADOS FIAT                   ;FIAT
1;FIAT-023            ;FIAT SIENA HLX                          ;50;USADOS FIAT                   ;FIAT
1;FIAT-024            ;FIAT SIENA EX                           ;50;USADOS FIAT                   ;FIAT
