EMPRESA;REVENDA;NUMERO_NOTA_FISCAL;SERIE_NOTA_FISCAL;TIPO_TRANSACAO;DTA_ENTRADA_SAIDA;DTA_DOCUMENTO;CLIENTE;DEPARTAMENTO;USUARIO;REVENDA_ORIGEM;QUANTIDADE;VAL_FRETE;VAL_DESCONTO;VAL_SEGURO;VAL_IPI;VAL_PIS;VAL_COFINS;VAL_TOTAL_REAL_ITEM;VAL_TOTAL_NOTA_ITEM;VAL_ICMS_RETIDO;VAL_CUSTO_CONTABIL;VAL_ICMS;VENDEDOR;VAL_ISS_RETIDO;COD_SETOR_VENDA;VAL_BONUS;MODELO
1;1;88285;2    ;V07;2015/03/25 00:00:00.000;2015/03/25 00:00:00.000;52302;100;31;1;-1;0;0;0;0;0;0;-48800;-48800;0;-47713.79;0; 110004;;N;;5U4FE4
1;1;88543;2    ;V09;2015/03/31 00:00:00.000;2015/03/31 00:00:00.000;1;100;53;1;-1;0;0;0;0;0;0;-37008.1;-37008.1;0;-37008.1;0; 110011;;N;;6A53K4
1;1;89480;2    ;V09;2015/04/30 00:00:00.000;2015/04/30 00:00:00.000;1;100;53;1;-1;0;0;0;0;0;0;-37043.25;-37043.25;0;-37043.25;0; 110011;;N;;5U3PN4
5;1;35857;2    ;V09;2018/09/18 00:00:00.000;2018/09/18 00:00:00.000;51804;100;433;1;-1;0;0;0;0;0;0;-41869.28;-41869.28;0;-41869.28;0; 4000020;;N;;5U7TA4
1;1;90051;2    ;V06;2015/05/14 00:00:00.000;2015/05/14 00:00:00.000;1;100;53;1;-1;0;0;0;0;0;0;-127944.23;-127944.23;0;-127944.23;0; 110011;;N;;2HBB3A
1;1;90708;2    ;U09;2015/05/31 00:00:00.000;2015/05/31 00:00:00.000;1;200;53;1;-1;0;0;0;0;0;0;-80000;-80000;0;-80000;0; 110011;;U;;2HBB3A
5;1;19058;2    ;V09;2016/08/12 00:00:00.000;2016/08/12 00:00:00.000;89323;100;412;1;-1;0;0;0;0;0;0;-66506.63;-66506.63;0;-66506.63;0; 1000013;;N;;5UD6S4
5;2;23832;1    ;V09;2018/09/28 00:00:00.000;2018/09/28 00:00:00.000;65148;100;694;2;-1;0;0;0;0;0;0;-52420.74;-52420.74;0;-52420.74;0; 99;;N;;BZ12Q4
5;3;11405;1    ;V09;2018/08/20 00:00:00.000;2018/08/20 00:00:00.000;97538;100;595;3;-1;0;0;0;0;0;0;-80219.72;-80219.72;0;-80219.72;0; 47;;U;;BZ24B3
5;1;36061;2    ;V09;2018/09/27 00:00:00.000;2018/09/27 00:00:00.000;51804;100;433;1;-1;0;0;0;0;0;0;-58857.35;-58857.35;0;-58857.35;0; 4000020;;N;3500;5UGTS2
