,VAL_CUSTO_CONTABIL
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,34826.99
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,220227.55
2015-03-03,270500.47000000003
2015-03-04,0.0
2015-03-05,32725.16
2015-03-06,137780.52
2015-03-07,48832.26
2015-03-08,0.0
2015-03-09,123011.42
2015-03-10,305237.17
2015-03-11,130555.67
2015-03-12,0.0
2015-03-13,228013.64
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,174525.95
2015-03-17,225287.87
2015-03-18,172635.38
2015-03-19,0.0
2015-03-20,295965.87
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,33220.88
2015-03-24,344204.92
2015-03-25,1109521.54
2015-03-26,81158.98000000001
2015-03-27,176450.43
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,112171.56
2015-03-31,728697.6300000001
2015-04-01,217097.69
2015-04-02,61857.05
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,206358.66999999998
2015-04-08,236900.5
2015-04-09,0.0
2015-04-10,248522.29
2015-04-11,33694.11
2015-04-12,0.0
2015-04-13,77864.55
2015-04-14,32738.19
2015-04-15,262822.7
2015-04-16,228641.00999999998
2015-04-17,120155.82
2015-04-18,42446.09
2015-04-19,0.0
2015-04-20,98327.15
2015-04-21,0.0
2015-04-22,122815.29
2015-04-23,80641.81
2015-04-24,343681.11999999994
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,112578.83
2015-04-28,191793.98
2015-04-29,0.0
2015-04-30,606069.5800000001
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,158164.25
2015-05-05,41715.15
2015-05-06,73190.47
2015-05-07,47713.79
2015-05-08,147923.77000000002
2015-05-09,33383.78
2015-05-10,0.0
2015-05-11,313817.5
2015-05-12,118390.07
2015-05-13,124878.78
2015-05-14,795750.1599999999
2015-05-15,179880.38999999998
2015-05-16,45508.1
2015-05-17,0.0
2015-05-18,104701.34
2015-05-19,295551.5
2015-05-20,0.0
2015-05-21,177609.04
2015-05-22,263163.43999999994
2015-05-23,18000.0
2015-05-24,0.0
2015-05-25,266822.86
2015-05-26,106476.73000000001
2015-05-27,304996.96
2015-05-28,234937.57
2015-05-29,396841.34
2015-05-30,93996.9
2015-05-31,292420.13
2015-06-01,165430.2
2015-06-02,78861.65
2015-06-03,383859.49000000005
2015-06-04,0.0
2015-06-05,354038.95999999996
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,38809.59
2015-06-09,117510.25
2015-06-10,89710.25
2015-06-11,342290.11
2015-06-12,141834.16
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,354410.20999999996
2015-06-16,84874.35
2015-06-17,162443.64
2015-06-18,207047.18
2015-06-19,139030.27000000002
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,252961.36
2015-06-23,34609.49
2015-06-24,233577.63999999998
2015-06-25,86493.1
2015-06-26,354991.38
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,423276.23000000004
2015-06-30,434361.16000000003
2015-07-01,272311.65
2015-07-02,177747.33
2015-07-03,78295.81
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,162886.82
2015-07-07,162427.95
2015-07-08,30000.0
2015-07-09,34609.49
2015-07-10,120045.9
2015-07-11,13000.0
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,90732.47
2015-07-15,52026.14
2015-07-16,118451.21
2015-07-17,90261.25
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,94635.8
2015-07-21,39420.13
2015-07-22,97374.72
2015-07-23,175429.19
2015-07-24,39420.13
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,74524.66
2015-07-28,286230.65
2015-07-29,146009.76
2015-07-30,369290.97
2015-07-31,185146.74000000002
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,84874.35
2015-08-04,82264.41
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,123989.72
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,93367.07
2015-08-11,300745.13
2015-08-12,181387.04
2015-08-13,160350.99
2015-08-14,37454.66
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,244122.95
2015-08-18,106123.24
2015-08-19,203966.30000000002
2015-08-20,112520.79000000001
2015-08-21,35755.2
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,142471.98
2015-08-25,94639.68
2015-08-26,154136.65000000002
2015-08-27,112093.82
2015-08-28,266519.9
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,657547.12
2015-09-01,55234.16
2015-09-02,190117.81000000003
2015-09-03,105507.63
2015-09-04,126573.8
2015-09-05,61000.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,261712.24
2015-09-11,222494.6
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,209648.56
2015-09-15,34983.73
2015-09-16,115146.73999999999
2015-09-17,83001.78
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,88783.17000000001
2015-09-23,102524.83
2015-09-24,274916.83999999997
2015-09-25,82023.0
2015-09-26,192557.96000000002
2015-09-27,0.0
2015-09-28,325873.73000000004
2015-09-29,378242.96
2015-09-30,286083.45
2015-10-01,131194.81
2015-10-02,126856.63
2015-10-03,35264.44
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,0.0
2015-10-07,82350.47
2015-10-08,20000.0
2015-10-09,301623.96
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,103613.63
2015-10-14,48062.97
2015-10-15,50336.52
2015-10-16,50828.29
2015-10-17,86005.36
2015-10-18,0.0
2015-10-19,270590.88
2015-10-20,101375.22
2015-10-21,143015.86
2015-10-22,101143.23000000001
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,62366.16
2015-10-27,37985.87
2015-10-28,210988.7
2015-10-29,72315.17
2015-10-30,143952.12
2015-10-31,249460.57999999996
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,106880.4
2015-11-05,52313.51
2015-11-06,146447.12
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,57024.49
2015-11-10,16500.0
2015-11-11,64395.63
2015-11-12,120700.48
