,VAL_CUSTO_CONTABIL
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,4452.279999999999
2015-03-03,23217.78000000001
2015-03-04,10064.460000000001
2015-03-05,17855.58
2015-03-06,16046.380000000001
2015-03-07,3672.0399999999995
2015-03-08,0.0
2015-03-09,14457.12999999999
2015-03-10,7408.840000000003
2015-03-11,15963.49
2015-03-12,7287.619999999999
2015-03-13,25794.059999999998
2015-03-14,12617.649999999998
2015-03-15,0.0
2015-03-16,7976.030000000001
2015-03-17,10378.349999999999
2015-03-18,17905.440000000002
2015-03-19,0.0
2015-03-20,6056.950000000002
2015-03-21,1641.4199999999998
2015-03-22,0.0
2015-03-23,9218.260000000004
2015-03-24,18718.179999999997
2015-03-25,22242.199999999997
2015-03-26,15410.269999999999
2015-03-27,17146.77
2015-03-28,9368.57
2015-03-29,0.0
2015-03-30,13526.039999999997
2015-03-31,29731.989999999998
2015-04-01,9851.940000000002
2015-04-02,22173.100000000002
2015-04-03,0.0
2015-04-04,2003.7600000000002
2015-04-05,0.0
2015-04-06,7829.060000000001
2015-04-07,7136.1399999999985
2015-04-08,8477.17
2015-04-09,11962.699999999999
2015-04-10,11353.849999999999
2015-04-11,12060.099999999999
2015-04-12,0.0
2015-04-13,18291.36
2015-04-14,14318.010000000002
2015-04-15,29638.859999999997
2015-04-16,12339.299999999997
2015-04-17,13727.539999999999
2015-04-18,6726.7699999999995
2015-04-19,0.0
2015-04-20,21494.270000000004
2015-04-21,0.0
2015-04-22,23162.58999999999
2015-04-23,12145.780000000006
2015-04-24,23366.570000000007
2015-04-25,3483.2399999999993
2015-04-26,0.0
2015-04-27,15756.289999999997
2015-04-28,9908.589999999998
2015-04-29,17238.270000000004
2015-04-30,29491.62
2015-05-01,0.0
2015-05-02,2796.6500000000005
2015-05-03,0.0
2015-05-04,13280.8
2015-05-05,25060.9
2015-05-06,27153.199999999993
2015-05-07,15801.589999999997
2015-05-08,27776.559999999994
2015-05-09,3483.71
2015-05-10,0.0
2015-05-11,13302.470000000001
2015-05-12,9460.41
2015-05-13,25212.239999999998
2015-05-14,14202.98
2015-05-15,16314.269999999999
2015-05-16,10203.310000000003
2015-05-17,0.0
2015-05-18,15512.260000000006
2015-05-19,43662.30000000001
2015-05-20,0.0
2015-05-21,5863.959999999998
2015-05-22,32162.440000000006
2015-05-23,5136.73
2015-05-24,0.0
2015-05-25,11406.760000000002
2015-05-26,16708.030000000002
2015-05-27,14340.050000000003
2015-05-28,41898.07999999998
2015-05-29,14428.480000000001
2015-05-30,22394.640000000003
2015-05-31,0.0
2015-06-01,14229.069999999996
2015-06-02,11314.120000000003
2015-06-03,12513.22
2015-06-04,21696.2
2015-06-05,16851.190000000002
2015-06-06,1355.72
2015-06-07,0.0
2015-06-08,7808.589999999999
2015-06-09,9944.480000000001
2015-06-10,11064.509999999998
2015-06-11,6512.060000000002
2015-06-12,37771.99999999999
2015-06-13,10002.669999999996
2015-06-14,0.0
2015-06-15,13700.39
2015-06-16,23110.940000000002
2015-06-17,49286.409999999996
2015-06-18,19853.870000000003
2015-06-19,36478.969999999994
2015-06-20,1456.8500000000001
2015-06-21,0.0
2015-06-22,10271.099999999999
2015-06-23,8069.180000000002
2015-06-24,15353.379999999997
2015-06-25,8774.160000000002
2015-06-26,13485.980000000001
2015-06-27,6098.57
2015-06-28,0.0
2015-06-29,17932.34
2015-06-30,77798.00999999998
2015-07-01,13947.7
2015-07-02,15210.710000000001
2015-07-03,11988.559999999998
2015-07-04,2388.5499999999993
2015-07-05,0.0
2015-07-06,25710.94
2015-07-07,8723.67
2015-07-08,15661.5
2015-07-09,13260.44
2015-07-10,46216.45
2015-07-11,2287.0199999999995
2015-07-12,0.0
2015-07-13,4903.4400000000005
2015-07-14,7376.890000000001
2015-07-15,20704.27
2015-07-16,16212.280000000004
2015-07-17,31736.460000000006
2015-07-18,3995.7499999999995
2015-07-19,0.0
2015-07-20,17068.390000000003
2015-07-21,17516.480000000003
2015-07-22,12960.399999999994
2015-07-23,34202.05
2015-07-24,14633.230000000001
2015-07-25,3708.13
2015-07-26,0.0
2015-07-27,12424.749999999998
2015-07-28,16701.719999999998
2015-07-29,21222.89
2015-07-30,18675.59
2015-07-31,32294.319999999996
2015-08-01,5419.1
2015-08-02,0.0
2015-08-03,10950.92
2015-08-04,9583.039999999999
2015-08-05,11633.109999999999
2015-08-06,34068.159999999996
2015-08-07,8822.389999999998
2015-08-08,4693.350000000001
2015-08-09,0.0
2015-08-10,8425.22
2015-08-11,15713.530000000002
2015-08-12,20963.779999999995
2015-08-13,7473.69
2015-08-14,22124.82
2015-08-15,4626.83
2015-08-16,0.0
2015-08-17,27407.770000000004
2015-08-18,21169.759999999995
2015-08-19,19333.76
2015-08-20,10509.060000000001
2015-08-21,15601.380000000003
2015-08-22,2846.95
2015-08-23,0.0
2015-08-24,37155.14
2015-08-25,27310.33
2015-08-26,19836.359999999997
2015-08-27,20132.959999999995
2015-08-28,13060.93
2015-08-29,2922.7500000000005
2015-08-30,0.0
2015-08-31,21848.520000000004
2015-09-01,29280.92
2015-09-02,12216.159999999998
2015-09-03,13481.429999999998
2015-09-04,13810.06
2015-09-05,8058.89
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,21342.92
2015-09-10,12896.549999999997
2015-09-11,8944.179999999998
2015-09-12,3564.6800000000003
2015-09-13,0.0
2015-09-14,13829.539999999997
2015-09-15,14083.769999999995
2015-09-16,16217.120000000006
2015-09-17,16413.739999999998
2015-09-18,24938.209999999995
2015-09-19,17844.62
2015-09-20,0.0
2015-09-21,5888.289999999999
2015-09-22,21663.61
2015-09-23,14480.510000000002
2015-09-24,14920.700000000003
2015-09-25,13636.259999999998
2015-09-26,6579.31
2015-09-27,0.0
2015-09-28,5213.19
2015-09-29,22315.5
2015-09-30,9605.340000000002
2015-10-01,6339.42
2015-10-02,15494.709999999997
2015-10-03,6954.17
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,9956.71
2015-10-07,10641.489999999998
2015-10-08,22995.800000000003
2015-10-09,38761.44000000002
2015-10-10,2597.2100000000005
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,10526.710000000003
