data,data,faturamento,dayofmonth,dayofweek,month,year,small_MA,big_MA,qtd_faturamento_previsto
2015-03-03,2015-03-03,270500.47000000003,3,1,3,2015,26277.750500000002,17518.500333333333,79934.7171029889
2015-03-04,2015-03-04,0.0,4,2,3,2015,26277.750500000002,17518.500333333333,79934.7171029889
2015-03-05,2015-03-05,32725.16,5,3,3,2015,27914.008500000004,18609.339,80495.30812259675
2015-03-06,2015-03-06,137780.52,6,4,3,2015,34803.0345,23202.023,82483.97641710512
2015-03-07,2015-03-07,48832.26,7,5,3,2015,37244.64750000001,24829.765000000003,12936.90413220079
2015-03-08,2015-03-08,0.0,8,6,3,2015,35503.298,24829.765000000003,1694.2625233167946
2015-03-09,2015-03-09,123011.42,9,0,3,2015,41653.869000000006,28930.14566666667,82406.22904065342
2015-03-10,2015-03-10,305237.17,10,1,3,2015,56915.7275,39104.718,85826.17924075342
2015-03-11,2015-03-11,130555.67,11,2,3,2015,63443.511,43456.57366666666,86470.139807187
2015-03-12,2015-03-12,0.0,12,3,3,2015,63443.511,43456.57366666666,86470.139807187
2015-03-13,2015-03-13,228013.64,13,4,3,2015,74844.193,51057.028333333335,87149.04173409118
2015-03-14,2015-03-14,0.0,14,5,3,2015,74844.193,51057.028333333335,12540.625742473732
2015-03-15,2015-03-15,0.0,15,6,3,2015,74844.193,51057.028333333335,1297.9841335897336
2015-03-16,2015-03-16,174525.95,16,0,3,2015,83570.49049999999,56874.560000000005,88678.4785670443
2015-03-17,2015-03-17,225287.87,17,1,3,2015,94834.88399999999,64384.155666666666,88678.4785670443
2015-03-18,2015-03-18,172635.38,18,2,3,2015,103466.65299999998,68977.76866666666,95839.20626289473
2015-03-19,2015-03-19,0.0,19,3,3,2015,103466.65299999998,68977.76866666666,96768.22647707556
2015-03-20,2015-03-20,295965.87,20,4,3,2015,118264.94649999999,78843.29766666665,148088.53226636152
2015-03-21,2015-03-21,0.0,21,5,3,2015,118264.94649999999,78843.29766666665,12795.767025250192
2015-03-22,2015-03-22,0.0,22,6,3,2015,107253.56899999999,78843.29766666665,1437.7648608106406
2015-03-23,2015-03-23,33220.88,23,0,3,2015,95389.58949999999,79950.66033333332,95885.73616345653
2015-03-24,2015-03-24,344204.92,24,1,3,2015,112599.8355,91424.15766666665,150753.82247583516
2015-03-25,2015-03-25,1109521.54,25,2,3,2015,166439.6545,128408.20899999999,384512.2590355672
2015-03-26,2015-03-26,81158.98000000001,26,3,3,2015,163608.57749999998,131113.50833333333,228069.46163156637
2015-03-27,2015-03-27,176450.43,27,4,3,2015,169989.486,136995.1893333333,249495.46702390764
2015-03-28,2015-03-28,0.0,28,5,3,2015,169989.486,136995.1893333333,22328.024177152303
2015-03-29,2015-03-29,0.0,29,6,3,2015,163838.915,136995.1893333333,26535.35904943058
2015-03-30,2015-03-30,112171.56,30,0,3,2015,154185.63450000001,140734.2413333333,388387.59503933485
2015-03-31,2015-03-31,728697.6300000001,31,1,3,2015,184092.7325,165024.1623333333,617934.5676584423
2015-04-01,2015-04-01,217097.69,1,2,4,2015,194947.61700000003,164919.83366666667,173523.6248838486
2015-04-02,2015-04-02,61857.05,2,3,4,2015,186639.7875,157965.05299999999,165605.88531497298
2015-04-03,2015-04-03,0.0,3,4,4,2015,186639.7875,157965.05299999999,178567.27888764857
2015-04-04,2015-04-04,0.0,4,5,4,2015,186639.7875,156874.21433333334,21072.716846321015
2015-04-05,2015-04-05,0.0,5,6,4,2015,177913.49,152281.53033333333,4096.977715749704
2015-04-06,2015-04-06,0.0,6,0,4,2015,166649.09649999999,150653.78833333336,181249.8067730141
2015-04-07,2015-04-07,206358.67,7,1,4,2015,168335.261,157532.41066666666,169103.80218125667
2015-04-08,2015-04-08,236900.5,8,2,4,2015,180180.286,161328.71333333335,207342.7137026096
2015-04-09,2015-04-09,0.0,9,3,4,2015,165381.9925,151154.141,162223.59587455273
2015-04-10,2015-04-10,248522.29,10,4,4,2015,177808.107,155086.3616666667,206865.2390977273
2015-04-11,2015-04-11,33694.11,11,5,4,2015,179492.81249999997,156209.4986666667,20627.52195112582
2015-04-12,2015-04-12,0.0,12,6,4,2015,177831.76849999998,148609.04400000005,4096.977715749704
2015-04-13,2015-04-13,77864.55,13,0,4,2015,164514.74999999997,151204.52900000004,175481.6231530415
2015-04-14,2015-04-14,32738.19,14,1,4,2015,110675.58249999997,152295.80200000005,141042.6098649865
2015-04-15,2015-04-15,262822.7,15,2,4,2015,119758.76849999998,155239.02700000006,156930.99126237756
2015-04-16,2015-04-16,228641.01,16,3,4,2015,122368.29749999999,155350.79833333337,160808.2913015391
2015-04-17,2015-04-17,120155.82,17,4,4,2015,128376.08849999998,153601.4796666667,173474.3981047229
2015-04-18,2015-04-18,42446.09,18,5,4,2015,130498.39299999997,155016.34933333338,18417.89167158294
2015-04-19,2015-04-19,0.0,19,6,4,2015,124889.81499999997,145150.82033333337,3304.6311598674424
2015-04-20,2015-04-20,98327.15,20,0,4,2015,93371.29099999995,148428.39200000005,119119.45732484285
2015-04-21,2015-04-21,0.0,21,1,4,2015,82516.40649999995,148428.39200000005,119119.45732484285
2015-04-22,2015-04-22,122815.29,22,2,4,2015,85564.31849999996,151414.8723333334,119119.45732484285
2015-04-23,2015-04-23,80641.81,23,3,4,2015,89596.40899999996,142629.4353333334,120245.37676574323
2015-04-24,2015-04-24,343681.11999999994,24,4,4,2015,106780.46499999997,117101.42133333339,147238.86888546156
2015-04-25,2015-04-25,0.0,25,5,4,2015,106780.46499999997,114396.12200000005,20575.631054856072
2015-04-26,2015-04-26,0.0,26,6,4,2015,106780.46499999997,108514.44100000005,3934.0453032727078
